As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status
19-09-2024,Gamma Inc,10006,4,CAD,FIXED ASSETS,DEPRECIATION,43781,43781,0,Match
19-09-2024,Gamma Inc,10008,1,USD,INVENTORY,COST OF GOODS SOLD,40567,40567,0,Match
19-09-2024,Zeta Group,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,64428,64428,0,Match
19-09-2024,Beta Ltd,10009,9,JPY,PREPAID EXPENSES,UNBILLED REVENUE,86739,86739,0,Match
19-09-2024,Gamma Inc,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,61211,61211,0,Match
19-09-2024,Zeta Group,10009,9,EUR,PREPAID EXPENSES,UNBILLED REVENUE,16909,16909,0,Match
19-09-2024,Zeta Group,10010,10,CAD,TAXES,ACCRUED LIABILITIES,7888,7888,0,Match
20-09-2024,Gamma Inc,10003,7,CAD,INVESTMENTS,ACCOUNTS RECEIVABLE,71478,71478,0,Match
20-09-2024,Gamma Inc,10003,7,CAD,INVESTMENTS,ACCOUNTS RECEIVABLE,27204,27204,0,Match
20-09-2024,Gamma Inc,10004,2,JPY,EQUITY,RETAINED EARNINGS,42029,42029,0,Match
20-09-2024,Delta LLC,10004,2,USD,EQUITY,RETAINED EARNINGS,41128,41128,0,Match
20-09-2024,Beta Ltd,10004,2,CAD,EQUITY,RETAINED EARNINGS,98617,98617,0,Match
20-09-2024,Alpha Corp,10004,2,USD,EQUITY,RETAINED EARNINGS,994203,54207,939996,Break
20-09-2024,Beta Ltd,10006,4,GBP,FIXED ASSETS,DEPRECIATION,84377,84377,0,Match
20-09-2024,Gamma Inc,10006,4,EUR,FIXED ASSETS,DEPRECIATION,30757,30757,0,Match
20-09-2024,Beta Ltd,10006,4,CAD,FIXED ASSETS,DEPRECIATION,52949,52949,0,Match
20-09-2024,Gamma Inc,10006,4,JPY,FIXED ASSETS,DEPRECIATION,33115,33115,0,Match
20-09-2024,Gamma Inc,10009,9,GBP,PREPAID EXPENSES,UNBILLED REVENUE,4969,4969,0,Match
20-09-2024,Gamma Inc,10009,9,JPY,PREPAID EXPENSES,UNBILLED REVENUE,33505,33505,0,Match
20-09-2024,Alpha Corp,10010,10,EUR,TAXES,ACCRUED LIABILITIES,87886,87885.98,0.02,Break
21-09-2024,Beta Ltd,10001,5,USD,LOANS,DEFERRED COSTS,60455,60455,0,Match
21-09-2024,Alpha Corp,10002,3,CAD,CASH,ACCOUNTS PAYABLE,59313,59313,0,Match
21-09-2024,Gamma Inc,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,35778,35778,0,Match
21-09-2024,Beta Ltd,10003,7,GBP,INVESTMENTS,ACCOUNTS RECEIVABLE,54962,54962,0,Match
21-09-2024,Gamma Inc,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,26760,26760,0,Match
