As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status
2024-02-16,Beta Ltd,10001,5,USD,LOANS,DEFERRED COSTS,85750,85750,0,Match
2024-02-16,Gamma Inc,10002,3,CAD,CASH,ACCOUNTS PAYABLE,9851,9856,-5,Break
2024-02-16,Gamma Inc,10002,3,JPY,CASH,ACCOUNTS PAYABLE,72366,72366,0,Match
2024-02-16,Alpha Corp,10002,3,EUR,CASH,ACCOUNTS PAYABLE,71367,71367,0,Match
2024-02-16,Gamma Inc,10002,3,JPY,CASH,ACCOUNTS PAYABLE,10835,10835,0,Match
2024-02-16,Beta Ltd,10004,2,USD,EQUITY,RETAINED EARNINGS,79606,79606,0,Match
2024-02-16,Zeta Group,10005,6,CAD,REVENUE,EXPENSES,10597,10597,0,Match
2024-02-16,Alpha Corp,10005,6,USD,REVENUE,EXPENSES,7717,7717,0,Match
2024-02-16,Beta Ltd,10005,6,GBP,REVENUE,EXPENSES,21863,21863,0,Match
2024-02-16,Alpha Corp,10005,6,USD,REVENUE,EXPENSES,13420,13420,0,Match
2024-02-16,Zeta Group,10007,8,GBP,BONDS,INTEREST PAYABLE,78438,78438,0,Match
2024-02-16,Delta LLC,10007,8,USD,BONDS,INTEREST PAYABLE,25709,25709,0,Match
2024-02-16,Beta Ltd,10008,1,CAD,INVENTORY,COST OF GOODS SOLD,14216,14216,0,Match
2024-02-16,Delta LLC,10008,1,CAD,INVENTORY,COST OF GOODS SOLD,81954,81954,0,Match
2024-02-17,Gamma Inc,10001,5,JPY,LOANS,DEFERRED COSTS,90740,90740,0,Match
2024-02-17,Zeta Group,10002,3,JPY,CASH,ACCOUNTS PAYABLE,13818,13818,0,Match
2024-02-17,Beta Ltd,10002,3,JPY,CASH,ACCOUNTS PAYABLE,66095,66095,0,Match
2024-02-17,Beta Ltd,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,8703,8703,0,Match
2024-02-17,Gamma Inc,10004,2,USD,EQUITY,RETAINED EARNINGS,83350,83350,0,Match
2024-02-17,Beta Ltd,10004,2,EUR,EQUITY,RETAINED EARNINGS,50577,50577,0,Match
2024-02-17,Delta LLC,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,23179,23179,0,Match
2024-02-17,Gamma Inc,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,18696,18696,0,Match
2024-02-18,Delta LLC,10001,5,EUR,LOANS,DEFERRED COSTS,77895,77895,0,Match
2024-02-18,Alpha Corp,10001,5,EUR,LOANS,DEFERRED COSTS,64124,64124,0,Match
2024-02-18,Zeta Group,10001,5,EUR,LOANS,DEFERRED COSTS,81076,81075.34,0.66,Break
2024-02-18,Beta Ltd,10002,3,GBP,CASH,ACCOUNTS PAYABLE,50711,50711,0,Match
2024-02-18,Zeta Group,10002,3,JPY,CASH,ACCOUNTS PAYABLE,30371,30371,0,Match
2024-02-18,Gamma Inc,10005,6,EUR,REVENUE,EXPENSES,17491,17491,0,Match
2024-02-19,Delta LLC,10001,5,CAD,LOANS,DEFERRED COSTS,25990,25990,0,Match
2024-02-19,Delta LLC,10001,5,JPY,LOANS,DEFERRED COSTS,34290,34289.41,0.59,Break
2024-02-19,Alpha Corp,10001,5,EUR,LOANS,DEFERRED COSTS,22179,22179,0,Match
2024-02-19,Zeta Group,10001,5,CAD,LOANS,DEFERRED COSTS,92965,92965,0,Match
