As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status
2024-02-16,Gamma Inc,10002,3,USD,CASH,ACCOUNTS PAYABLE,97271.43,97271.43,0.0,Match
2024-02-16,Gamma Inc,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,98162.52,98162.52,0.0,Match
2024-02-16,Zeta Group,10005,6,JPY,REVENUE,EXPENSES,49905.29,49905.29,0.0,Match
2024-02-16,Beta Ltd,10005,6,EUR,REVENUE,EXPENSES,22685.88,23585.18,-899.3,Break
2024-02-16,Gamma Inc,10005,6,EUR,REVENUE,EXPENSES,88649.27,88649.27,0.0,Match
2024-02-16,Alpha Corp,10005,6,USD,REVENUE,EXPENSES,51421.11,51421.11,0.0,Match
2024-02-16,Alpha Corp,10006,4,GBP,FIXED ASSETS,DEPRECIATION,56833.34,56833.34,0.0,Match
2024-02-16,Gamma Inc,10008,1,USD,INVENTORY,COST OF GOODS SOLD,12702.18,12702.18,0.0,Match
2024-02-16,Beta Ltd,10008,1,CAD,INVENTORY,COST OF GOODS SOLD,53892.77,53892.77,0.0,Match
2024-02-16,Alpha Corp,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,15548.69,15548.69,0.0,Match
2024-02-16,Zeta Group,10010,10,USD,TAXES,ACCRUED LIABILITIES,77025.94,77025.94,0.0,Match
2024-02-16,Delta LLC,10010,10,USD,TAXES,ACCRUED LIABILITIES,97926.74,97926.74,0.0,Match
2024-02-17,Delta LLC,10001,5,CAD,LOANS,DEFERRED COSTS,59738.91,59738.91,0.0,Match
2024-02-17,Zeta Group,10001,5,CAD,LOANS,DEFERRED COSTS,19329.79,19329.79,0.0,Match
2024-02-17,Alpha Corp,10001,5,EUR,LOANS,DEFERRED COSTS,70111.59,70111.59,0.0,Match
2024-02-17,Beta Ltd,10005,6,JPY,REVENUE,EXPENSES,27779.88,27779.88,0.0,Match
2024-02-17,Alpha Corp,10005,6,USD,REVENUE,EXPENSES,55016.71,55016.71,0.0,Match
2024-02-17,Alpha Corp,10006,4,EUR,FIXED ASSETS,DEPRECIATION,42132.55,42132.55,0.0,Match
2024-02-17,Beta Ltd,10006,4,GBP,FIXED ASSETS,DEPRECIATION,67365.36,67365.36,0.0,Match
2024-02-17,Alpha Corp,10007,8,USD,BONDS,INTEREST PAYABLE,43025.21,43025.21,0.0,Match
2024-02-17,Beta Ltd,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,38943.77,40200.81,-1257.04,Break
2024-02-17,Alpha Corp,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,45907.85,45907.85,0.0,Match
2024-02-17,Alpha Corp,10009,9,JPY,PREPAID EXPENSES,UNBILLED REVENUE,85382.97,85382.97,0.0,Match
2024-02-18,Alpha Corp,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,29720.27,28729.37,990.9,Break
2024-02-18,Zeta Group,10003,7,CAD,INVESTMENTS,ACCOUNTS RECEIVABLE,18005.29,18005.29,0.0,Match
2024-02-18,Gamma Inc,10003,7,CAD,INVESTMENTS,ACCOUNTS RECEIVABLE,83625.87,83625.87,0.0,Match
2024-02-18,Alpha Corp,10007,8,JPY,BONDS,INTEREST PAYABLE,85028.18,84334.07,694.11,Break
2024-02-18,Delta LLC,10007,8,GBP,BONDS,INTEREST PAYABLE,51193.34,50173.11,1020.23,Break
2024-02-18,Beta Ltd,10007,8,EUR,BONDS,INTEREST PAYABLE,74380.12,73156.43,1223.69,Break
2024-02-18,Gamma Inc,10007,8,EUR,BONDS,INTEREST PAYABLE,50489.0,50489.0,0.0,Match
2024-02-18,Delta LLC,10008,1,JPY,INVENTORY,COST OF GOODS SOLD,93139.99,93139.99,0.0,Match
2024-02-18,Gamma Inc,10008,1,GBP,INVENTORY,COST OF GOODS SOLD,80341.88,80341.88,0.0,Match
2024-02-18,Delta LLC,10008,1,GBP,INVENTORY,COST OF GOODS SOLD,54843.2,54843.2,0.0,Match
2024-02-18,Delta LLC,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,45559.72,44199.21,1360.51,Break
2024-02-18,Beta Ltd,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,16585.2,16585.2,0.0,Match
2024-02-18,Beta Ltd,10009,9,GBP,PREPAID EXPENSES,UNBILLED REVENUE,58668.44,58668.44,0.0,Match
2024-02-18,Delta LLC,10009,9,JPY,PREPAID EXPENSES,UNBILLED REVENUE,8332.75,8332.75,0.0,Match
2024-02-18,Delta LLC,10010,10,JPY,TAXES,ACCRUED LIABILITIES,67896.81,67896.81,0.0,Match
2024-02-18,Delta LLC,10010,10,GBP,TAXES,ACCRUED LIABILITIES,98306.29,98306.29,0.0,Match
2024-02-19,Alpha Corp,10001,5,CAD,LOANS,DEFERRED COSTS,51147.19,51147.19,0.0,Match
2024-02-19,Delta LLC,10001,5,EUR,LOANS,DEFERRED COSTS,92011.66,90852.41,1159.25,Break
2024-02-19,Delta LLC,10002,3,GBP,CASH,ACCOUNTS PAYABLE,8165.44,8165.44,0.0,Match
2024-02-19,Zeta Group,10002,3,EUR,CASH,ACCOUNTS PAYABLE,47219.21,47219.21,0.0,Match
2024-02-19,Gamma Inc,10002,3,EUR,CASH,ACCOUNTS PAYABLE,77397.26,76417.01,980.25,Break
2024-02-19,Alpha Corp,10002,3,JPY,CASH,ACCOUNTS PAYABLE,53942.19,53942.19,0.0,Match
2024-02-19,Alpha Corp,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,82744.73,82744.73,0.0,Match
2024-02-19,Zeta Group,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,32136.32,32136.32,0.0,Match
2024-02-19,Zeta Group,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,85450.98,85450.98,0.0,Match
2024-02-19,Delta LLC,10003,7,CAD,INVESTMENTS,ACCOUNTS RECEIVABLE,70996.77,70996.77,0.0,Match
2024-02-19,Gamma Inc,10004,2,GBP,EQUITY,RETAINED EARNINGS,96071.89,96071.89,0.0,Match
2024-02-19,Alpha Corp,10004,2,EUR,EQUITY,RETAINED EARNINGS,57865.81,57865.81,0.0,Match
2024-02-19,Gamma Inc,10004,2,GBP,EQUITY,RETAINED EARNINGS,19167.85,19167.85,0.0,Match
2024-02-19,Beta Ltd,10006,4,JPY,FIXED ASSETS,DEPRECIATION,28527.42,28527.42,0.0,Match
2024-02-19,Zeta Group,10008,1,USD,INVENTORY,COST OF GOODS SOLD,73068.55,73068.55,0.0,Match
2024-02-19,Gamma Inc,10008,1,USD,INVENTORY,COST OF GOODS SOLD,45976.47,47273.2,-1296.73,Break
2024-02-19,Alpha Corp,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,77459.52,77459.52,0.0,Match
2024-02-19,Delta LLC,10008,1,USD,INVENTORY,COST OF GOODS SOLD,30253.23,30253.23,0.0,Match
2024-02-19,Gamma Inc,10009,9,EUR,PREPAID EXPENSES,UNBILLED REVENUE,96821.57,96821.57,0.0,Match
2024-02-19,Beta Ltd,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,22653.59,22653.59,0.0,Match
2024-02-19,Gamma Inc,10010,10,EUR,TAXES,ACCRUED LIABILITIES,93649.82,93649.82,0.0,Match
2024-02-20,Gamma Inc,10002,3,USD,CASH,ACCOUNTS PAYABLE,3594.39,3594.39,0.0,Match
2024-02-20,Gamma Inc,10002,3,USD,CASH,ACCOUNTS PAYABLE,61401.21,61401.21,0.0,Match
2024-02-20,Beta Ltd,10002,3,JPY,CASH,ACCOUNTS PAYABLE,21840.82,21840.82,0.0,Match
2024-02-20,Alpha Corp,10004,2,EUR,EQUITY,RETAINED EARNINGS,41311.94,41311.94,0.0,Match
2024-02-20,Delta LLC,10004,2,JPY,EQUITY,RETAINED EARNINGS,39609.99,39609.99,0.0,Match
2024-02-20,Gamma Inc,10005,6,USD,REVENUE,EXPENSES,26021.04,26860.43,-839.39,Break
2024-02-20,Alpha Corp,10006,4,USD,FIXED ASSETS,DEPRECIATION,4270.76,4270.76,0.0,Match
2024-02-20,Delta LLC,10006,4,GBP,FIXED ASSETS,DEPRECIATION,12519.54,12519.54,0.0,Match
2024-02-20,Zeta Group,10006,4,JPY,FIXED ASSETS,DEPRECIATION,28848.83,28848.83,0.0,Match
2024-02-20,Alpha Corp,10006,4,JPY,FIXED ASSETS,DEPRECIATION,87323.48,88176.12,-852.64,Break
2024-02-21,Gamma Inc,10001,5,JPY,LOANS,DEFERRED COSTS,5574.57,5574.57,0.0,Match
2024-02-21,Zeta Group,10001,5,CAD,LOANS,DEFERRED COSTS,31473.03,31473.03,0.0,Match
2024-02-21,Beta Ltd,10001,5,GBP,LOANS,DEFERRED COSTS,59693.84,59693.84,0.0,Match
2024-02-21,Gamma Inc,10001,5,JPY,LOANS,DEFERRED COSTS,58877.74,58877.74,0.0,Match
2024-02-21,Delta LLC,10002,3,GBP,CASH,ACCOUNTS PAYABLE,15607.66,15607.66,0.0,Match
2024-02-21,Alpha Corp,10002,3,EUR,CASH,ACCOUNTS PAYABLE,50707.81,51985.12,-1277.31,Break
2024-02-21,Beta Ltd,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,71364.08,71364.08,0.0,Match
2024-02-21,Beta Ltd,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,18973.69,18973.69,0.0,Match
2024-02-21,Beta Ltd,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,73682.56,73682.56,0.0,Match
2024-02-21,Gamma Inc,10006,4,CAD,FIXED ASSETS,DEPRECIATION,4985.49,4985.49,0.0,Match
2024-02-21,Beta Ltd,10006,4,GBP,FIXED ASSETS,DEPRECIATION,72211.22,72211.22,0.0,Match
2024-02-21,Zeta Group,10006,4,CAD,FIXED ASSETS,DEPRECIATION,89176.98,89176.98,0.0,Match
2024-02-21,Beta Ltd,10007,8,JPY,BONDS,INTEREST PAYABLE,62791.21,62791.21,0.0,Match
2024-02-21,Alpha Corp,10007,8,EUR,BONDS,INTEREST PAYABLE,30639.35,30639.35,0.0,Match
2024-02-21,Gamma Inc,10007,8,USD,BONDS,INTEREST PAYABLE,30649.09,30649.09,0.0,Match
2024-02-21,Alpha Corp,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,90690.57,90690.57,0.0,Match
2024-02-21,Beta Ltd,10008,1,USD,INVENTORY,COST OF GOODS SOLD,9548.28,9548.28,0.0,Match
2024-02-21,Alpha Corp,10008,1,JPY,INVENTORY,COST OF GOODS SOLD,15879.83,15879.83,0.0,Match
2024-02-21,Delta LLC,10008,1,CAD,INVENTORY,COST OF GOODS SOLD,16461.6,16461.6,0.0,Match
2024-02-21,Zeta Group,10009,9,GBP,PREPAID EXPENSES,UNBILLED REVENUE,29221.95,28330.25,891.7,Break
2024-02-21,Delta LLC,10010,10,EUR,TAXES,ACCRUED LIABILITIES,10724.86,10724.86,0.0,Match
2024-02-21,Gamma Inc,10010,10,USD,TAXES,ACCRUED LIABILITIES,52105.67,53369.36,-1263.69,Break
2024-02-22,Delta LLC,10001,5,CAD,LOANS,DEFERRED COSTS,2797.52,2797.52,0.0,Match
2024-02-22,Gamma Inc,10001,5,USD,LOANS,DEFERRED COSTS,33433.6,33433.6,0.0,Match
2024-02-22,Alpha Corp,10001,5,EUR,LOANS,DEFERRED COSTS,29055.92,29055.92,0.0,Match
2024-02-22,Delta LLC,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,44713.61,44713.61,0.0,Match
2024-02-22,Delta LLC,10004,2,GBP,EQUITY,RETAINED EARNINGS,47209.16,47209.16,0.0,Match
2024-02-22,Beta Ltd,10005,6,CAD,REVENUE,EXPENSES,59458.6,58389.66,1068.94,Break
2024-02-22,Gamma Inc,10005,6,EUR,REVENUE,EXPENSES,36268.01,36268.01,0.0,Match
2024-02-22,Alpha Corp,10005,6,GBP,REVENUE,EXPENSES,44063.36,44063.36,0.0,Match
2024-02-22,Alpha Corp,10006,4,EUR,FIXED ASSETS,DEPRECIATION,21316.74,21316.74,0.0,Match
2024-02-22,Gamma Inc,10006,4,JPY,FIXED ASSETS,DEPRECIATION,5052.44,5052.44,0.0,Match
2024-02-22,Beta Ltd,10007,8,EUR,BONDS,INTEREST PAYABLE,42664.62,42664.62,0.0,Match
2024-02-22,Beta Ltd,10008,1,USD,INVENTORY,COST OF GOODS SOLD,60100.84,60100.84,0.0,Match
2024-02-22,Zeta Group,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,18584.5,18584.5,0.0,Match
2024-02-22,Alpha Corp,10008,1,GBP,INVENTORY,COST OF GOODS SOLD,96885.55,96885.55,0.0,Match
2024-02-22,Zeta Group,10008,1,JPY,INVENTORY,COST OF GOODS SOLD,36566.46,36566.46,0.0,Match
2024-02-22,Gamma Inc,10010,10,EUR,TAXES,ACCRUED LIABILITIES,92111.7,92702.25,-590.55,Break
